                                              Editorial LP1 Horario 0432
========================================================================================================================
PAGO A LOS AUTORES:
------------------------------------------------------------------------------------------------------------------------
CODIGO  NOMBRE                                    LIBROS VENDIDOS  REGALIAS
------------------------------------------------------------------------------------------------------------------------
870138  Gustavo Alonso Del Castillo Mejia                    1985  25786.61
378708  Wilmer Saenz Aranda                                  1842  14565.97
140158  Miguel Calixto Torres                                2286  16333.32
349213  Delia Zarate Urbina                                  2350  27621.00
275448  Carmen Zamora Cabrera                                1342  17795.43
530367  Delia Estefania Cabrera Moreno                       2496  22806.49
510907  Fiorella Erika Florencio Polo                        1839  15101.11
250612  Zkenia Irma Chung Zuniga                             2575  26271.01
514787  Walter Jolay Chumpitaz                               2205  32299.27
919777  Rosario Tabori Arias                                 2843  33161.89
640279  Cesar Jaime Rodriguez Serrano                        1062   7355.69
350118  Julio Vilcara Jugo                                   2559  26661.92
220562  Humberto Alfonso Amezquita Contreras                 2216  16919.08
810557  Jaime Julian Shirakawa Florian                       2303  26378.35
811509  Raul Collado Villa                                   1852  16625.20
270040  David Carlos Perez Antezano                          3083  24865.71
980233  Cinthia Milena Zegarra Cabello                       2259  16447.55
707842  Delicia Norabuena Zegarra                            2839  32786.87
453687  Blanca Luz Acuna Ayllon                              2340  25163.20
543556  Valentina Paula Urbina Antezano                      1724   9938.48
348262  Emilio Emigdio Gonzales Aguirre                      1688  11066.93
247769  Edilberto Jesus Mori Suarez                          3138  31386.86
380049  Humberto Alberto Vargas Guevara                      2173  12289.30
490454  Janet Cinthia Aranda Minaya                          2515  19507.84
411592  Luz Sofia Jauregui Bravo                             1922  22502.52
230184  Surami Heli Preciado Pinto                           2016  21862.31
130082  Alfonso Waldemar Cabello Lam                         1185  14203.64
644596  Victor Edgar Garcia Astete                           1409   7424.59
320934  Ofelia Carmen Mercado Caro                           2834  22544.86
730269  Delicia Arca Aquino                                   606   7109.95
530798  Giovana Mejia Zegarra                                1392  10636.52
742063  Milena Cinthia Zarate Acuna                          1946  13832.97
690189  Francisco Zimic Salas                                2441  20440.77
584115  Miguel Alex Landeo Estrada                           1023  12633.00
370929  Delicia Rosa Arca Leiva                              2471  24894.78
340444  Yliana Flor Ortiz Guevara                            2087  22528.68
756733  Johan Enrique Ayala Zevallos                         2175  17486.98
800384  Felicita Erika Del Castillo Chung                    3244  27901.81
710789  Victoria Milagros Shirakawa Saona                    2138  22970.62
270227  Teresa Teresa Martel Mercado                         2114  14175.98
679768  Marina Natalia Garcia Inga                           1579  17152.35
290786  Rosario Maribel Yep Zavaleta                         2072  20350.03
650611  Edgar Munoz Vergel                                   1539   9935.94
120992  Ofelia Beatriz Montero Bolanos                       1607  17425.36
524655  Glenda Cabrera Mori                                  2133  21415.40
990354  Javier Edgard Landa Cabrera                          3127  32551.93
510063  Victoria Fiorella Cuba Pomajambo                     1743  22197.50
309313  Alexander Portugal Raffo                             1036  11203.80
------------------------------------------------------------------------------------------------------------------------
Total a pagar por regalias: 944517.34
========================================================================================================================
RECAUDACION POR LIBROS VENDIDOS:
------------------------------------------------------------------------------------------------------------------------
CODIGO    TITULO                                                        PRECIO    LIBROS VENDIDOS  TOTAL RECAUDADO
------------------------------------------------------------------------------------------------------------------------
FM3676XY  El Duque en su territorio                                        68.13              124          8448.12
HX7509SS  Las demoliciones de Paris                                       161.64              130         21013.20
BY2824ZA  L'ecole des menages                                              21.32               96          2046.72
LN4392WT  The Countess de Charny                                          102.09              129         13169.61
LH7856DF  El Club de los explotadores                                      35.13              139          4883.07
WB6072ZV  Elogio de la madrastra                                           45.50              195          8872.50
ZA8543MU  La hermosa jardinera                                            180.12              112         20173.44
DG3859IW  Le Cousin Pons                                                  131.84               72          9492.48
PF2178PX  El Manuscrito del Domino                                         38.71              195          7548.45
WG1806UA  House of Pomegranates                                            35.89              159          5706.51
AB6148GL  Le Colonel Chabert                                               21.42               95          2034.90
NI2660ZB  An Ideal Husband                                                 59.37              130          7718.10
DB5425JV  Le Chef-d'oeuvre inconnu                                        230.29              166         38228.14
PP7349PH  Historia de Mayta                                                11.27               88           991.76
AL2744VA  Suspense2                                                       107.50               49          5267.50
SB4803YB  Una Navidad                                                     232.60              174         40472.40
AK2082OC  The Nutcracker                                                   23.40              185          4329.00
YV5760BW  La Peau de chagrin                                              140.27              144         20198.88
AF8015EM  Musica para camaleones                                           82.46              149         12286.54
JF9854RG  La Cousine Bette                                                147.61              117         17270.37
DY7148FQ  La Fille aux yeux d'or                                           34.52               91          3141.32
RP7586UG  Lady Windermere's Fan                                            44.29              136          6023.44
XE1517PU  The Corsican Brothers                                           213.27               94         20047.38
FK4438CD  La casa verde                                                   216.30              120         25956.00
QM1355QW  El nino perdido                                                  35.52              178          6322.56
TJ8256BL  La guerra del fin del mundo                                     199.82              111         22180.02
ER5817MM  La Resurreccion de Rocambole                                     76.34              100          7634.00
AX2084DP  Beat the Devil                                                   43.30              126          5455.80
RW3837XQ  Los tesoros del Rajah                                           119.15              138         16442.70
WB8148TN  Le Chevalier de Maison-Rouge                                     84.13              124         10432.12
PD1639EO  Lord Arthur Savile's Crime and Other Stories                    241.98              144         34845.12
WL4712EJ  Les Ressources de Quinola                                        47.61              128          6094.08
JV3344QJ  The Fencing Master                                               67.95              182         12366.90
CK7628SP  Twenty Years After                                              125.28               38          4760.64
BX3667AP  Conversacion en La Catedral                                     169.80              110         18678.00
TO3719OI  La reina de las barricadas                                      119.04              126         14999.04
PX3867LY  Alice's Adventures in Wonderland                                113.33              117         13259.61
SB2546UL  The Ballad of Reading Gaol                                      222.08              198         43971.84
FE5059EI  Sylvie and Bruno Concluded                                      193.90              170         32963.00
IJ2633VB  Un breve cuento aparecido en la revista Seventeen               242.04               88         21299.52
XU6411QX  The Companions of Jehu                                           58.95               99          5836.05
KL7180EF  The Hunting of the Snark                                        126.71              205         25975.55
LO8581RA  El hablador                                                     220.45              158         34831.10
RU9919GT  El testamento del grano de sal                                  189.07              104         19663.28
XV8731UB  Unspoiled Monsters Kate McCloud                                 210.38              185         38920.30
SJ4820TV  Lituma en los Andes                                             174.20               79         13761.80
TA6107RM  Le Vicaire des Ardennes                                         230.17              210         48335.70
CQ7026HG  Redencion2                                                      165.28              118         19503.04
QT6611DW  La jaula de los pajaros                                         143.81              132         18982.92
LL1733VC  Georges                                                         136.05              109         14829.45
